,runtime,log_budget,log_revenue,log_popularity,log_vote_count,num_genres,is_english,is_adult,is_summer,is_holiday,is_friday_release,has_budget,has_revenue,budget_tier,is_major_studio,dir_avg_rating,dir_movie_count,dir_max_rating,dir_experienced,dir_avg_votes,num_keywords,num_prod_companies,release_month,release_quarter,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,vote_average
854,140.0,0.0,0.0,2.615130495170516,5.627621113690637,2,1,0,0,0,1,0,0,0.0,0,8.406,1,8.406,0,277.0,10,5,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8.406
855,100.0,15.424948670398354,0.0,2.9898147997899533,5.627621113690637,3,1,0,1,0,0,1,0,2.0,0,6.3420000000000005,2,6.342,0,186.0,15,1,8,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5.661
856,108.0,0.0,16.251450678031354,4.430006947192449,5.6240175061873385,3,0,0,0,1,1,0,1,0.0,1,7.69,1,7.69,0,276.0,6,12,11,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.69
857,80.0,0.0,0.0,2.4578779774000807,5.62040086571715,2,0,0,0,0,1,0,0,0.0,0,5.867999999999999,2,6.149,0,413.0,0,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.149
858,92.0,0.0,0.0,2.0928512285897534,5.62040086571715,2,1,0,1,0,0,0,0,0.0,1,5.607,1,5.607,0,275.0,7,3,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.607
859,111.0,0.0,0.0,2.24834007814165,5.616771097666572,2,0,0,0,0,1,0,0,0.0,0,7.916,1,7.916,0,274.0,0,1,10,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.916
860,94.0,0.0,0.0,2.749000187431164,5.6131281063880705,4,1,0,0,0,0,0,0,0.0,0,6.17,1,6.17,0,273.0,3,2,10,4,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.17
861,7.0,0.0,0.0,2.3756496638510507,5.60947179518496,3,1,0,0,0,1,0,0,0.0,1,7.032888888888888,10,7.938,1,755.1,3,2,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.2
862,89.0,0.0,0.0,2.337952236831337,5.602118820879701,1,1,0,1,0,0,0,0,0.0,0,5.648,1,5.648,0,270.0,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.648
863,106.0,0.0,0.0,3.2941317093469675,5.602118820879701,1,0,0,0,0,1,0,0,0.0,0,6.431,1,6.431,0,270.0,0,1,9,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.431
864,137.0,17.129696599000436,16.770420889081343,2.744960555122307,5.602118820879701,1,1,0,0,0,1,1,1,3.0,1,6.343,1,6.343,0,270.0,14,4,9,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.343
865,96.0,0.0,16.0927922018453,2.767199224955343,5.598421958998375,3,1,0,1,0,1,0,1,0.0,0,5.985,1,5.985,0,269.0,4,8,6,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5.985
866,118.0,0.0,0.0,2.8854150492431216,5.598421958998375,3,1,0,0,0,1,0,0,0.0,0,6.329,1,6.329,0,269.0,10,8,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.329
867,100.0,0.0,0.0,3.6810236781483527,5.594711379601839,3,0,0,0,0,1,0,0,0.0,0,6.909999999999999,2,6.91,0,827.5,3,1,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6.688
868,82.0,13.638904635766202,0.0,2.3769501749493527,5.594711379601839,3,1,0,0,0,0,1,0,1.0,0,5.763,1,5.763,0,268.0,6,2,9,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.763
869,108.0,0.0,15.256700455101779,3.113559752667194,5.594711379601839,3,1,0,1,0,1,0,1,0.0,0,6.649,1,6.649,0,268.0,5,3,7,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6.649
870,131.0,0.0,18.28386295131192,2.7318318297670086,5.5909869805108565,4,0,0,1,0,1,0,1,0.0,0,8.3,1,8.3,0,267.0,1,2,7,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.3
871,107.0,0.0,0.0,2.537657215173529,5.58724865840025,4,1,0,1,0,1,0,0,0.0,0,6.594,1,6.594,0,266.0,0,1,5,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,6.594
872,107.0,0.0,0.0,3.1264973434335435,5.58724865840025,3,1,0,0,0,1,0,0,0.0,0,6.7,1,6.7,0,266.0,4,2,10,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.7
873,103.0,0.0,0.0,2.4618085985420235,5.58724865840025,3,0,0,0,0,0,0,0,0.0,0,6.925,1,6.925,0,266.0,3,5,10,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.925
874,102.0,16.118095750958314,15.761281840235185,2.809462934511939,5.583496308781699,1,1,0,0,1,1,1,1,2.0,0,7.0,1,7.0,0,265.0,7,9,11,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0
875,98.0,0.0,0.0,2.298677468163029,5.583496308781699,1,1,0,0,0,0,0,0,0.0,0,6.325,1,6.325,0,265.0,12,10,10,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.325
876,115.0,0.0,0.0,2.5395526509013253,5.583496308781699,2,1,0,1,0,0,0,0,0.0,0,5.745,1,5.745,0,265.0,6,7,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.745
